Commander Cost 2
  Lands: 30, result 93.47
  Lands: 31, result 94.8
  Lands: 32, result 94.74
  Lands: 33, result 95.97
  Lands: 34, result 96.47
  Lands: 35, result 97.2
  Lands: 36, result 97.3
  Lands: 37, result 97.37
  Lands: 38, result 97.7
  Lands: 39, result 98.03
  Lands: 40, result 98.13
  Lands: 41, result 98.73
  Lands: 42, result 99.07
  Lands: 43, result 99.27
  Lands: 44, result 99.33
  Lands: 45, result 99.33
Commander Cost 3
  Lands: 30, result 81.47
  Lands: 31, result 82.84
  Lands: 32, result 85.0
  Lands: 33, result 87.47
  Lands: 34, result 87.77
  Lands: 35, result 90.64
  Lands: 36, result 92.4
  Lands: 37, result 92.6
  Lands: 38, result 94.07
  Lands: 39, result 94.8
  Lands: 40, result 95.4
  Lands: 41, result 96.03
  Lands: 42, result 96.27
  Lands: 43, result 96.7
  Lands: 44, result 97.2
  Lands: 45, result 97.93
Commander Cost 4
  Lands: 30, result 66.11
  Lands: 31, result 68.08
  Lands: 32, result 70.61
  Lands: 33, result 75.07
  Lands: 34, result 77.41
  Lands: 35, result 79.51
  Lands: 36, result 82.41
  Lands: 37, result 84.17
  Lands: 38, result 86.34
  Lands: 39, result 87.3
  Lands: 40, result 88.5
  Lands: 41, result 90.57
  Lands: 42, result 92.1
  Lands: 43, result 93.94
  Lands: 44, result 93.8
  Lands: 45, result 95.13
Commander Cost 5
  Lands: 30, result 47.22
  Lands: 31, result 53.28
  Lands: 32, result 55.38
  Lands: 33, result 58.95
  Lands: 34, result 63.41
  Lands: 35, result 65.84
  Lands: 36, result 69.54
  Lands: 37, result 73.21
  Lands: 38, result 75.44
  Lands: 39, result 78.54
  Lands: 40, result 79.14
  Lands: 41, result 82.51
  Lands: 42, result 83.17
  Lands: 43, result 86.54
  Lands: 44, result 87.5
  Lands: 45, result 90.37
Commander Cost 6
  Lands: 30, result 33.72
  Lands: 31, result 36.39
  Lands: 32, result 39.72
  Lands: 33, result 44.22
  Lands: 34, result 48.68
  Lands: 35, result 50.48
  Lands: 36, result 55.78
  Lands: 37, result 59.38
  Lands: 38, result 62.11
  Lands: 39, result 65.24
  Lands: 40, result 68.21
  Lands: 41, result 71.48
  Lands: 42, result 75.64
  Lands: 43, result 79.91
  Lands: 44, result 80.64
  Lands: 45, result 84.04
